,date,stop_id,am_rush,pm_rush,full_day
518,2018-01-09,place-coecl,2199,6418,12359
519,2018-01-09,place-crtst,195,1321,1975
520,2018-01-09,place-davis,7739,1792,11589
521,2018-01-09,place-dwnxg,1982,15693,24141
522,2018-01-09,place-fldcr,2047,912,4076
523,2018-01-09,place-forhl,7520,2361,12951
524,2018-01-09,place-gover,721,4367,6720
525,2018-01-09,place-grnst,1699,392,2545
526,2018-01-09,place-haecl,2855,3758,9630
527,2018-01-09,place-harsq,5056,7630,17225
528,2018-01-09,place-hymnl,1239,3044,6205
529,2018-01-09,place-jaksn,2792,1351,5539
530,2018-01-09,place-jfk,2243,2288,5887
531,2018-01-09,place-kencl,1328,3183,6297
532,2018-01-09,place-knncl,1648,12097,17246
533,2018-01-09,place-lech,1725,2079,5092
534,2018-01-09,place-masta,1798,2367,5817
535,2018-01-09,place-mlmnl,7170,1462,11166
536,2018-01-09,place-mvbcl,5327,2361,10448
537,2018-01-09,place-north,6646,5702,14670
538,2018-01-09,place-nqncy,5230,1608,8849
539,2018-01-09,place-ogmnl,4852,488,6385
540,2018-01-09,place-orhte,2337,667,3970
541,2018-01-09,place-pktrm,1551,9760,15543
542,2018-01-09,place-portr,5243,1333,8060
543,2018-01-09,place-prmnl,563,1625,3136
544,2018-01-09,place-qamnl,3232,547,4351
545,2018-01-09,place-qnctr,5294,1124,8014
546,2018-01-09,place-rbmnl,1400,487,2781
547,2018-01-09,place-rcmnl,1470,1782,4680
548,2018-01-09,place-river,685,394,1356
549,2018-01-09,place-rugg,2140,5044,10206
550,2018-01-09,place-sbmnl,2171,609,3403
551,2018-01-09,place-sdmnl,248,47,375
552,2018-01-09,place-shmnl,1279,417,2165
553,2018-01-09,place-smmnl,1318,351,2189
554,2018-01-09,place-spmnl,123,379,675
555,2018-01-09,place-sstat,7326,13137,24898
556,2018-01-09,place-state,760,9070,12989
557,2018-01-09,place-sull,3837,2253,8256
558,2018-01-09,place-symcl,504,523,1566
559,2018-01-09,place-tumnl,1065,3682,6459
560,2018-01-09,place-welln,4341,1228,6958
561,2018-01-09,place-wimnl,960,530,2052
562,2018-01-09,place-wondl,4459,706,6563
563,2018-01-09,place-wtcst,104,622,906
564,2018-01-10,place-alfcl,7054,2595,11270
565,2018-01-10,place-andrw,2584,1780,5959
566,2018-01-10,place-aport,2358,1667,6093
567,2018-01-10,place-aqucl,262,2207,3809
568,2018-01-10,place-armnl,670,4464,6925
569,2018-01-10,place-asmnl,4414,1413,7951
570,2018-01-10,place-astao,698,1481,2936
571,2018-01-10,place-bbsta,3740,8301,15805
